"activation"	"item"	"position"	"word"	"time"	"retrieve_wh"	"reanalysis"	"agreeing_actions"	"matching_fs"	"fan_size"	"condition"	"critical"
2.09916066588863	1	1	"the"	0.617516423973407	"None"	"no"	2	6.5	1440528.92307692	"gram_high"	-1
5.44994062839472	1	2	"professor"	0.665364831888053	"None"	"no"	2.66666666666667	9.33333333333333	1410453.75833333	"gram_high"	-1
4.15000438016406	1	3	"saw"	0.6090994828575	"None"	"yes"	2	12	1091124.41666667	"gram_high"	-1
6.13734288989044	1	4	"the"	0.657680870653502	"None"	"no"	3	8	1270273.875	"gram_high"	-1
7.11569418456828	1	5	"students"	0.655437864379278	"None"	"no"	3	9.55555555555556	1314969.76561265	"gram_high"	0
10.9052024636579	1	6	"that"	0.612417620066775	"None"	"no"	4.5	12.9166666666667	1293109.525998	"gram_high"	1
9.78020792284815	1	7	"walked"	0.634291981973065	"None"	"no"	3	12	1156696.75	"gram_high"	2
6.91328410044677	1	8	"across"	0.635407418929704	"None"	"no"	3	9	1451390.33333333	"gram_high"	3
6.71593488709972	1	9	"the"	0.601573541164352	"None"	"no"	3	7.33333333333333	1789203.54545455	"gram_high"	3
6.01580331741938	1	10	"quad"	0.615020063187637	"None"	"yes"	2.33333333333333	12.3888888888889	946441.44057971	"gram_high"	3
3.99541277481534	2	1	"we"	0.603756622668321	"None"	"no"	2	11.6666666666667	1027496	"gram_high"	-1
8.09115656790641	2	2	"celebrated"	0.671738444702387	"None"	"no"	3	10	1292758.2	"gram_high"	-1
7.09547986837654	2	3	"with"	0.613074502711924	"None"	"no"	3	9	1438223.88888889	"gram_high"	-1
5.89696885931344	2	4	"the"	0.607256191441213	"None"	"no"	3	8	1640561.125	"gram_high"	-1
5.88828927502483	2	5	"team"	0.61777352620823	"None"	"no"	6	12.1666666666667	2953427.43499511	"gram_high"	0
10.9307244929873	2	6	"that"	0.614683521482051	"None"	"no"	3	12.75	893877.829326923	"gram_high"	1
11.2065387278307	2	7	"defeated"	0.648519428913648	"None"	"no"	4	13	1423681.84615385	"gram_high"	2
6.25688263714391	2	8	"our"	0.609147871568067	"None"	"no"	3	7.66666666666667	1660172.86956522	"gram_high"	3
3.34024917261457	2	9	"rival"	0.63072018770348	"None"	"yes"	2	10.5	1237488.95238095	"gram_high"	3
3.99541277481534	3	1	"we"	0.598856622668321	"None"	"no"	2	11.6666666666667	1027496	"gram_high"	-1
8.09115656790641	3	2	"rented"	0.630338444702387	"None"	"no"	3	10	1292758.2	"gram_high"	-1
6.95428630531878	3	3	"the"	0.608332074176937	"None"	"no"	3	9	1442742.77777778	"gram_high"	-1
6.44208961928535	3	4	"bowling"	0.647391250034749	"None"	"no"	3.2	15.26	1382154.7028022	"gram_high"	-1
7.66757327199724	3	5	"shoes"	0.62446013755836	"None"	"no"	3	12.8333333333333	1313963.37805944	"gram_high"	0
5.62250902944996	3	6	"that"	0.621110209172761	"None"	"yes"	3	8	1681342.5	"gram_high"	1
4.17386059541501	3	7	"rubbed"	0.690744762207962	"None"	"no"	3	10.6666666666667	1642847.25	"gram_high"	2
4.05667879640065	3	8	"our"	0.615114556412365	"None"	"no"	3	6	2098092.16666667	"gram_high"	3
4.39411437588009	3	9	"ankles"	0.638244453573718	"None"	"yes"	2.66666666666667	10.7777777777778	1543096.57925926	"gram_high"	3
2.30720554378598	4	1	"while"	0.631058255121278	"None"	"no"	2	7	1322829.85714286	"gram_high"	-1
7.24261899315287	4	2	"they"	0.613109162931517	"None"	"no"	3	8.83333333333333	1450890.87316716	"gram_high"	-1
10.0276560493705	4	3	"were"	0.607133437197487	"None"	"no"	3	11	1198958.72727273	"gram_high"	-1
7.19426815298024	4	4	"at"	0.593496010938621	"None"	"no"	3	8.33333333333333	1555666.8	"gram_high"	-1
6.79888343328718	4	5	"the"	0.605918950553584	"None"	"no"	3	8.33333333333333	1581739.8	"gram_high"	-1
4.32382628619909	4	6	"park"	0.617603156943968	"None"	"yes"	2	13	1013297.92307692	"gram_high"	-1
4.93260281859807	4	7	","	0.640357760865	"None"	"no"	2	13.5	950478.888888889	"gram_high"	-1
10.1923160101862	4	8	"they"	0.606098752790775	"None"	"no"	3	11.8333333333333	1106471.53185484	"gram_high"	-1
6.97216334576467	4	9	"saw"	0.605499301008608	"None"	"no"	2	18	722329.333333333	"gram_high"	-1
5.01679764221643	4	10	"the"	0.61117679469208	"None"	"no"	2	13	907178.769230769	"gram_high"	-1
5.32604533519154	4	11	"children"	0.660422469054586	"None"	"no"	2	16.6666666666667	818290.726427963	"gram_high"	0
9.31821431970271	4	12	"that"	0.61828069307411	"None"	"no"	3.25	12.875	877130.839688552	"gram_high"	1
9.78020792284815	4	13	"bothered"	0.652891981973065	"None"	"no"	3	12	1156696.75	"gram_high"	2
9.47466776582487	4	14	"them"	0.619644606034102	"None"	"yes"	2.91666666666667	13.5277777777778	1086469.61839451	"gram_high"	3
7.08141606734397	4	15	"yesterday"	0.713800028244245	"None"	"yes"	6.5	12.1547619047619	3069271.875	"gram_high"	3
3.13280538213624	5	1	"at"	10	"None"	"no"	3	4.33333333333333	2114880.92307692	"gram_high"	-1
5.39067265588905	5	2	"the"	10	"None"	"no"	3	7.33333333333333	1750418.59090909	"gram_high"	-1
6.32812798945598	5	3	"supermarket"	10	"None"	"no"	2.6	11.4666666666667	1236614.84774359	"gram_high"	-1
5.49755767284093	5	4	","	10	"None"	"no"	2	16	873020.875	"gram_high"	-1
9.45009392625255	5	5	"we"	10	"None"	"no"	3	11.5	1141842.58461538	"gram_high"	-1
