activation	item	position	word	retrieve_wh	reanalysis	agreeing_actions	matching_fs	fan_size	condition
5.98597782117603	6	2	busboy	None	no	3	8.33333333333333	1636418.95357143	obj_ext
10.9359338699241	6	3	who	None	yes	3.5	12.75	1028324.78653846	obj_ext
7.53049629107731	6	4	the	None	no	3	10	578399.1	obj_ext
5.96731734625712	6	5	waiter	None	no	3.33333333333333	9.66666666666667	687697.683501684	obj_ext
7.36163206392176	6	6	brought	yes	yes	2.90909090909091	11	1256062.23006214	obj_ext
7.42000648391589	6	7	to	None	no	3	9	1557414.44444444	obj_ext
8.01056885188366	6	8	the	None	no	3	10.3333333333333	1328797.64516129	obj_ext
7.51645619429832	6	9	table	None	yes	2.625	13.2291666666667	1212493.47688934	obj_ext
5.88041143186958	6	10	did	None	no	3	7	1873698.85714286	obj_ext
2.09916066588863	7	1	the	None	no	2	6.5	1440528.92307692	obj_ext
5.98597782117603	7	2	gardener	None	no	3	8.33333333333333	1636418.95357143	obj_ext
10.9359338699241	7	3	who	None	yes	3.5	12.75	1028324.78653846	obj_ext
7.53049629107731	7	4	the	None	no	3	10	578399.1	obj_ext
5.96731734625712	7	5	painter	None	no	3.33333333333333	9.66666666666667	687697.683501684	obj_ext
7.05971421694695	7	6	recommended	yes	yes	2.90909090909091	11.5454545454545	1242758.92613636	obj_ext
8.419175886803	7	7	to	None	no	7	11	2952205.45454545	obj_ext
6.68518748430798	7	8	the	None	no	3	9	1501211.66666667	obj_ext
3.84474793972012	7	9	homeowner	None	yes	2	12	1081261.08333333	obj_ext
6.65144426830875	7	10	was	None	no	3	8	1655891.25	obj_ext
2.09916066588863	8	1	the	None	no	2	6.5	1440528.92307692	obj_ext
5.98597782117603	8	2	businessman	None	no	3	8.33333333333333	1636418.95357143	obj_ext
10.9359338699241	8	3	who	None	yes	3.5	12.75	1028324.78653846	obj_ext
7.53049629107731	8	4	the	None	no	3	10	578399.1	obj_ext
5.96731734625712	8	5	banker	None	no	3.33333333333333	9.66666666666667	687697.683501684	obj_ext
7.37010645698406	8	6	recommended	yes	yes	3	11	1279255.74431818	obj_ext
6.80835771491923	8	7	to	None	no	3	9.33333333333333	1487374.07142857	obj_ext
7.49673443450602	8	8	the	None	no	5	10	2288468.5	obj_ext
6.77474139448721	8	9	company	None	yes	2.75	14.5208333333333	1225287.78116256	obj_ext
6.44005588673453	8	10	has	None	no	3	8	1697971.375	obj_ext
2.09916066588863	9	1	the	None	no	2	6.5	1440528.92307692	obj_ext
5.52432094576868	9	2	actor	None	no	2.66666666666667	9.33333333333333	1405577.65833333	obj_ext
10.9359338699241	9	3	who	None	yes	3.5	12.75	1028324.78653846	obj_ext
7.53049629107731	9	4	the	None	no	3	10	578399.1	obj_ext
5.96731734625712	9	5	dancer	None	no	3.33333333333333	9.66666666666667	687697.683501684	obj_ext
7.32655695446595	9	6	mentioned	yes	yes	3	11.0909090909091	1279157.80268595	obj_ext
8.419175886803	9	7	to	None	no	7	11	2952205.45454545	obj_ext
6.68518748430798	9	8	the	None	no	3	9	1501211.66666667	obj_ext
3.84474793972012	9	9	director	None	yes	2	12	1081261.08333333	obj_ext
6.72935913371726	9	10	would	None	no	3	8.66666666666667	1493731.96153846	obj_ext
2.09916066588863	10	1	the	None	no	2	6.5	1440528.92307692	obj_ext
4.98782224979024	10	2	protester	None	no	2.33333333333333	12.6666666666667	1208081.45833333	obj_ext
10.1350378168213	10	3	who	None	yes	2.75	14.0833333333333	813039.58949475	obj_ext
7.53049629107731	10	4	the	None	no	3	10	578399.1	obj_ext
6.83237612257736	10	5	student	None	no	3.66666666666667	8.88888888888889	770425.188653452	obj_ext
2.33274895623598	10	6	shoved	None	no	1	25	217712.12	obj_ext
2.90864777540008	10	7	into	None	no	2	9	496730.555555556	obj_ext
5.32422496637359	10	8	the	None	no	4	7	849686.285714286	obj_ext
5.95818181543557	10	9	crowd	None	yes	3.8	10.4	755577.351190476	obj_ext
2.15087737985837	10	10	was	yes	no	2	6	2025862.33333333	obj_ext
2.09916066588863	11	1	the	None	no	2	6.5	1440528.92307692	obj_ext
5.98597782117603	11	2	intern	None	no	3	8.33333333333333	1636418.95357143	obj_ext
10.9359338699241	11	3	who	None	yes	3.5	12.75	1028324.78653846	obj_ext
7.53049629107731	11	4	the	None	no	3	10	578399.1	obj_ext
