std_interval__,lf_log__,le_log__,rf_log__,weight_interval__,std,lf,le,rf,weight,subj_mu_rt__0,subj_mu_rt__1,subj_mu_rt__2,subj_mu_rt__3,subj_mu_rt__4,subj_mu_rt__5,obj_mu_rt__0,obj_mu_rt__1,obj_mu_rt__2,obj_mu_rt__3,obj_mu_rt__4,obj_mu_rt__5
-0.04082199452025481,-2.3025850929940455,-2.103317526482621,-2.703062659591171,-0.020202707317519497,25.000000000000007,0.10000000000000002,0.1220508489413222,0.06699999999999999,50.0,654.8,628.9812500129203,564.4,650.1187574838887,621.9750000000497,564.4000130952556,654.8,631.4000000000001,650.118750000004,732.4687541057773,655.3875001244038,564.4000000000001
-0.04082199452025481,-2.646825899022976,-2.103317526482621,-2.703062659591171,-0.020202707317519497,25.000000000000007,0.07087582342424271,0.1220508489413222,0.06699999999999999,50.0,634.8000000000002,596.9500000091574,551.2,611.9437553042676,605.4312500000353,551.2000092813703,634.8000000000002,618.1999999999998,611.9437500000029,686.0625029100034,635.1937500881722,551.2
1.0211097912375033,-3.7331726799467138,-2.103317526482621,-2.703062659591171,0.3294640771480538,37.02424713137727,0.023916834874700785,0.1220508489413222,0.06699999999999999,58.58126831172313,602.5,545.3125000000857,529.9000000000001,550.3625001530536,578.6625000000001,529.9000003320452,602.5,596.9,550.3625,610.4750000853153,602.3375000014017,529.9
1.0211097912375033,-4.260967923091339,-1.590560449354068,-2.703062659591171,-0.44694189856927924,37.02424713137727,0.014108639720841212,0.20381135377772877,0.06699999999999999,39.61872215649128,593.5999999999999,535.8000000000022,522.8,541.6937500102931,570.625,522.8000000269992,593.5999999999999,589.8000000000001,541.6937499999999,596.3125000058188,593.1187500000558,522.8
1.0211097912375033,-4.260967923091339,-2.0722099386009045,-3.5416205415105004,0.2720413295542595,37.02424713137727,0.014108639720841212,0.12590722678316849,0.02896634785747575,57.19180397984891,264.59999999999997,241.53750000004246,232.2,244.6375000801038,253.84375000000006,232.20000017561037,264.59999999999997,261.20000000000005,244.63749999999993,271.1000000446861,264.42500000071277,232.20000000000005
2.3837090865266957,-2.628478284054018,-2.2317394867083014,-3.5416205415105004,1.312475804185382,45.86325215067657,0.07218822867960693,0.10734154844703847,0.02896634785747575,79.00478810739247,306.90000000000003,304.3250000000028,262.0,317.37500002031356,289.81875,262.0000000579106,306.90000000000003,291.0,317.375,356.0750000115546,306.03125000008777,262.0
2.062598473926822,-2.628478284054018,-2.2317394867083014,-3.43588083870572,1.6862644404425216,44.47350794629197,0.07218822867960693,0.10734154844703847,0.032197037341081536,84.52949428605496,385.2000000000001,379.3625000000003,337.09999999999997,392.4125000050475,367.0875,337.1000000162521,385.2000000000001,369.29999999999995,392.41249999999997,432.78125000289697,384.0687500000156,337.09999999999997
2.062598473926822,-2.92360897177656,-2.2317394867083014,-3.43588083870572,1.6862644404425216,44.47350794629197,0.05373939295736837,0.10734154844703847,0.032197037341081536,84.52949428605496,371.9000000000001,359.35000000000025,327.8,369.0500000037574,355.82500000000005,327.8000000120986,371.9000000000001,360.0000000000001,369.04999999999995,405.7625000021567,371.02500000001163,327.79999999999995
-0.32125183809420843,-2.92360897177656,-2.1686715680153066,-3.43588083870572,0.897383362794496,21.598164086687973,0.05373939295736837,0.11432939490012407,0.032197037341081536,71.3307371346561,371.1,359.68750000000625,326.7,370.1750000324577,354.81875,326.7000000865548,371.1,358.9,370.17499999999995,407.5875000183713,370.4062500001684,326.70000000000005
-0.6020969862320289,-2.92360897177656,-2.1686715680153066,-3.43588083870572,0.056409176060101096,18.339340068938697,0.05373939295736837,0.11432939490012407,0.032197037341081536,51.89575701944254,371.1,359.68750001241824,326.7,370.1750059853343,354.8187500000555,326.70001011532554,371.1,358.9,370.1750000000047,411.63750327520756,371.4250001096332,326.70000000000005
-0.3940340538815377,-2.92360897177656,-2.1686715680153066,-3.43588083870572,0.25824095512499146,20.734581573164423,0.05373939295736837,0.11432939490012407,0.032197037341081536,56.85617922462466,371.1,359.6875000017752,326.7,370.1750015804914,354.81875000000485,326.7000030008216,371.1,358.9,370.1750000000003,410.52500087234114,371.15000002093393,326.69999999999993
-0.9658951022087394,-3.077124278712675,-1.6248202429428198,-3.43588083870572,-1.288639705725863,14.509273101275806,0.046091612880342435,0.19694707464900787,0.032197037341081536,22.392231229759012,358.4,355.46250203824127,313.9000000000001,373.8314334655323,341.9750000334503,313.9002268138776,358.4,346.10000000000025,373.83125000476764,406.58759810368207,358.45625817126376,313.90000000037236
-0.9658951022087394,-3.077124278712675,-1.7221341820890843,-3.43588083870572,-1.1921590049423967,14.509273101275806,0.046091612880342435,0.17868439565517144,0.032197037341081536,24.054429163206837,359.9,354.45000300458514,315.5,370.4814886125847,343.51250005417444,315.500288291366,359.9,347.70000000000056,370.48125000804885,405.7438773783315,360.02501136329255,315.5000000006859
-0.9658951022087394,-3.077124278712675,-1.7221341820890843,-3.43588083870572,-1.8460614552028765,14.509273101275806,0.046091612880342435,0.17868439565517144,0.032197037341081536,14.497263090627197,359.9000000000363,354.45116304111536,315.500000031224,370.49440708893314,343.5125872219163,315.5112153926276,359.9000000000363,347.7000001554988,370.4812793498171,409.27562068032097,360.9268525910387,315.50000834512286
-0.9658951022087394,-3.077124278712675,-1.8670152659525527,-3.43588083870572,-2.4610293119710343,14.509273101275806,0.046091612880342435,0.15458436715550458,0.032197037341081536,8.784937166243969,361.90001930865424,353.30298184667504,318.00069562677754,366.6667821756739,345.87760061193774,318.172243128183,361.90001930865424,350.2016684036113,366.44380185044196,410.94912999400026,364.0455935717779,318.0095446310942
